,correlation,mutual_info,corr_rank,mi_rank,avg_rank
ComorbidityCount,0.4161,0.098,1.0,1.0,1.0
BMI_Age_Interaction,0.3975,0.0949,2.0,2.0,2.0
GenHlth,0.397,0.0881,3.0,3.0,3.0
HighBP,0.3717,0.073,4.0,4.0,4.0
PoorGenHlth,0.3039,0.0481,5.0,6.0,5.5
BMI,0.2862,0.0541,6.0,5.0,5.5
HighChol,0.2831,0.0479,7.0,7.0,7.0
Age,0.2749,0.0465,8.0,8.0,8.0
DiffWalk,0.2675,0.0389,9.0,9.0,9.0
BMI_Category_Obese,0.2644,0.0363,10.0,10.0,10.0
BMI_Category_Normal,0.2416,0.0317,11.0,11.0,11.0
Income,0.2129,0.0273,12.0,12.0,12.0
PhysHlth,0.207,0.0252,14.0,13.0,13.5
HeartDiseaseorAttack,0.2073,0.0214,13.0,15.0,14.0
UnhealthyDays,0.1855,0.0217,15.0,14.0,14.5
Education,0.1623,0.0165,16.0,17.0,16.5
PhysActivity,0.1509,0.0194,17.0,16.0,16.5
CholCheck,0.12,0.0107,19.0,18.0,18.5
Stroke,0.1213,0.0085,18.0,20.0,19.0
LifestyleScore,0.1098,0.0107,20.0,19.0,19.5
HvyAlcoholConsump,0.0977,0.0079,21.0,21.0,21.0
MentHlth,0.0823,0.0073,22.0,24.0,23.0
Veggies,0.076,0.0073,24.0,23.0,23.5
Smoker,0.0763,0.0046,23.0,27.0,25.0
Fruits,0.0441,0.0052,26.0,25.0,25.5
AnyHealthcare,0.0267,0.0078,31.0,22.0,26.5
BMI_Category_Underweight,0.0491,0.0015,25.0,29.0,27.0
BMI_Category_Overweight,0.0399,0.0051,29.0,26.0,27.5
Sex,0.0423,0.0038,28.0,28.0,28.0
CareAccessGap,0.0427,0.0013,27.0,30.0,28.5
NoDocbcCost,0.0377,0.0004,30.0,31.0,30.5
